3 words (v1),type(v1),3 words with emotion (v2),type(v2),Color/lighting (v2),emotion,centroid
Decorated Christmas Trees  ,Object,Festive tree decorations,Object,Warm glowing ambiance,amusement,0
Fashion runway models,Action,Vibrant fashion show,Object,"Bright, joyful ambiance",amusement,1
Traditional dance performance  ,Action,Vibrant cultural performance  ,Object,"Bright, joyful illumination",amusement,2
Medieval reenactment event,Action,Festive medieval reenactment  ,Object,"Bright, cheerful daylight",amusement,3
Ferris wheel rides  ,Action,Joyful carnival ride,Object,"Bright, cheerful hues",amusement,4
Butterflies on flowers  ,Object,Playful butterfly interactions  ,Object,"Vibrant, joyful hues",amusement,5
Women in coral  ,Action,Joyful bridal gathering  ,Object,"Bright, cheerful hues",amusement,6
Colorful vegetable dishes,Object,Colorful vegetable skewers,Object,"Bright, cheerful hues",amusement,7
Babies smiling happily,Action,Joyful infant smiles  ,Facial Expression,"Bright, cheerful tones",amusement,8
Colorful playground structures  ,Object,Spiraling playground slides  ,Object,"Bright, cheerful hues",amusement,9
Pink blooming roses,Object,Vibrant floral display,Object,"Warm, cheerful hues",amusement,10
Dogs happily playing  ,Action,Playful canine expressions  ,Object,"Warm, joyful hues",amusement,11
Exploding colorful fireworks,Object,Vibrant fireworks display,Object,"Radiant, joyful illumination",amusement,12
Castle Fireworks Display  ,Object,Vibrant fireworks display  ,Object,Warm glowing ambiance,amusement,13
Giant observation wheels  ,Object,Giant observation wheel,Object,Warm sunset hues,amusement,14
Birds on branches  ,Object,Playful bird poses  ,Object,Vibrant forest hues,amusement,15
Babies celebrating Christmas  ,Action,Festive holiday attire,Object,Warm cheerful glow,amusement,16
Horses Close-up Portraits  ,Object,Playful horse expressions  ,Action,"Bright, joyful ambiance",amusement,17
Children playing outdoors  ,Action,Joyful outdoor play,Object,"Bright, warm hues",amusement,18
Toasting champagne glasses  ,Action,Sparkling champagne toasts,Action,Warm golden hues,amusement,19
Colorful floating balloons  ,Object,Colorful floating balloons  ,Object,"Bright, joyful hues",amusement,20
Cosplay at convention  ,Action,Vibrant costume display  ,Object,"Bright, joyful hues",amusement,21
Frogs holding cups,Action,Playful frog figurines,Object,"Warm, cheerful hues",amusement,22
Hamsters eating food  ,Action,Playful rodent antics  ,Object,"Warm, inviting glow",amusement,23
Family enjoying autumn  ,Action,Joyful family moments,Action,Warm golden hues,amusement,24
Gourmet food presentation  ,Object,Playful culinary presentation  ,Object,Warm inviting hues,amusement,25
Layered cake slices  ,Object,Festive dessert display,Object,Warm inviting glow,amusement,26
Minnie Mouse greeting  ,Action,Joyful cartoon character,Object,"Bright, cheerful ambiance",amusement,27
Characters performing outdoors  ,Action,Costumed character performance  ,Action,"Bright, cheerful ambiance",amusement,28
Children playing snow  ,Action,Joyful winter play  ,Action,"Bright, cheerful illumination",amusement,29
Santa with children  ,Action,Festive Santa visits  ,Object,Warm cheerful glow,amusement,30
Seasonal pumpkin display  ,Object,Festive pumpkin display,Object,"Warm, inviting glow",amusement,31
Colorful stage performance  ,Action,Vibrant stage performance,Action,"Radiant, joyful hues",amusement,32
Various topped pizzas,Object,Festive gourmet pizzas,Object,Warm inviting glow,amusement,33
Parade with character  ,Action,Costumed character parade  ,Object,"Bright, cheerful ambiance",amusement,34
Toasting with beer  ,Action,Social drinking moments,Action,Warm inviting glow,amusement,35
Frogs holding objects,Action,Playful frog figurines,Object,"Vibrant, joyful hues",amusement,36
Paragliding above mountains  ,Action,Joyful aerial adventure  ,Action,"Bright, uplifting hues",amusement,37
Squirrels eating nuts  ,Action,Playful squirrel antics,Object,"Warm, cheerful hues",amusement,38
Girls twirling outdoors  ,Action,Playful outdoor twirling  ,Action,Warm sunlit hues,amusement,39
Colorful flower bouquets,Object,Vibrant floral arrangements  ,Object,Warm cheerful hues,amusement,40
Buffet-style food spread  ,Object,Festive food gathering  ,Object,Warm inviting glow,amusement,41
Fresh vegetables displayed  ,Object,Vibrant tomato clusters  ,Object,Cheerful bright hues,amusement,42
Birds flying sky  ,Object,Joyful soaring birds  ,Object,"Bright, uplifting blues",amusement,43
Kids birthday party,Action,Joyful birthday party,Object,Warm festive glow,amusement,44
Anime figure posing  ,Action,Playful action figure,Object,Warm cheerful tones,amusement,45
Sliding on inflatable  ,Action,Joyful inflatable play,Object,"Bright, cheerful hues",amusement,46
Roller coasters looping  ,Action,Thrilling roller coasters  ,Object,"Bright, vibrant hues",amusement,47
Cats lying down  ,Action,Playful feline antics,Object,"Warm, inviting glow",amusement,48
Outdoor belly dancing  ,Action,Joyful dance performance,Action,Vibrant festive brightness,amusement,49
Decorating gingerbread cookies  ,Action,Festive cookie decoration  ,Object,Warm cheerful glow,amusement,50
Dogs wearing costumes  ,Action,Festive canine attire,Object,"Bright, joyful ambiance",amusement,51
Lying in grass  ,Action,Joyful outdoor relaxation,Action,"Bright, cheerful hues",amusement,52
Ferris wheel piers,Action,Vibrant amusement rides,Object,"Bright, cheerful hues",amusement,53
Colorful wrapped gifts,Object,Festive wrapped gifts,Object,"Bright, cheerful hues",amusement,54
Carnival costume parade  ,Action,Festive costume parade,Object,Warm golden glow,amusement,55
Red berries hanging  ,Object,Vibrant berry clusters,Object,"Cheerful, bright hues",amusement,56
Decorated Christmas Tree,Object,Festive lighted tree,Object,Warm glowing ambiance,amusement,57
Christmas family joy,Action,Joyful holiday moments,Action,Warm festive glow,amusement,58
Baby enjoys swinging  ,Action,Joyful playground swings  ,Action,Bright sunny delight,amusement,59
Elegant floral arrangements  ,Object,Festive floral arrangements,Object,"Warm, inviting hues",amusement,60
Swans on water  ,Object,Graceful swan swimming,Object,Warm reflective waters,amusement,61
Colorful lion dance  ,Object,Vibrant cultural performance,Object,Bright festive hues,amusement,62
Seniors enjoying outdoors  ,Action,Joyful senior activities,Action,"Bright, warm tones",amusement,63
Cats in Christmas  ,Object,Playful cats hiding  ,Object,Warm festive glow,amusement,64
Colorful hanging lanterns,Object,Festive lantern display,Object,Warm glowing ambiance,amusement,65
Red poppy fields,Object,Vibrant poppy fields  ,Object,"Cheerful, bright hues",amusement,66
Colorful parrots perching  ,Object,Colorful parrot display  ,Object,Vibrant joyful hues,amusement,67
Pouring syrup pancakes,Object,Delightful pancake stacks  ,Object,Warm inviting hues,amusement,68
Toy robots standing  ,Object,Colorful toy robots,Object,"Bright, cheerful hues",amusement,69
Halloween pumpkin fun  ,Action,Playful pumpkin props  ,Object,Warm festive glow,amusement,70
Child enjoys ride  ,Action,Joyful amusement ride,Object,"Bright, cheerful hues",amusement,71
Children riding carousel  ,Action,Joyful carousel rides  ,Object,"Warm, glowing ambiance",amusement,72
Decorated Christmas Trees  ,Object,Festive decorated trees  ,Object,Warm twinkling lights,amusement,73
Parachutes descending sky,Action,Thrilling aerial adventure  ,Action,"Bright, uplifting skies",amusement,74
Children laughing joyfully  ,Action,Joyful childhood play,Action,"Warm, radiant smiles",amusement,75
Giant cartoon sculptures  ,Object,Whimsical springy statue,Object,"Bright, cheerful hues",amusement,76
Birds eating seeds  ,Object,Joyful bird feeding  ,Object,Vibrant festive hues,amusement,77
Ferris wheel cabins  ,Object,Thrilling ferris ride,Object,"Bright, joyful ambiance",amusement,78
Parasailing over ocean  ,Action,Thrilling aerial activities,Action,"Bright, joyful hues",amusement,79
Hugging cartoon characters  ,Action,Playful character interaction,Action,"Bright, joyful ambiance",amusement,80
Colorful Ferris wheels  ,Object,Vibrant Ferris wheels  ,Object,Radiant neon hues,amusement,81
Festive holiday decorations  ,Object,Festive holiday decorations  ,Object,Warm cheerful glow,amusement,82
Kids enjoying pool  ,Action,Joyful water play,Action,"Bright, cheerful hues",amusement,83
Carnival dance performance  ,Action,Vibrant carnival dance,Action,Bright festive hues,amusement,84
Fresh buttered popcorn  ,Object,Crunchy snack delight,Object,Warm golden hues,amusement,85
Children playing indoors  ,Action,Playful indoor activities,Action,"Bright, cheerful ambiance",amusement,86
Festive candle decoration  ,Object,Festive candle glow,Object,Warm inviting ambiance,amusement,87
Birthday hat celebration  ,Action,Festive birthday toys,Object,"Bright, cheerful hues",amusement,88
Sunrise ocean horizon  ,Object,Majestic sunrise view,Object,Warm golden hues,awe,0
Gothic cathedral interiors  ,Object,Majestic cathedral interiors,Object,Warm glowing ambiance,awe,1
Colorful blooming flowers,Object,Majestic floral display  ,Object,Warm radiant hues,awe,2
Couples in nature  ,Action,Joyful wedding moments,Action,Warm golden hues,awe,3
Mountainous scenic views  ,Object,Majestic mountain views  ,Object,Warm golden hues,awe,4
"Sunset, lake, formations  ",Object,Majestic sunset reflections  ,Object,Warm glowing horizons,awe,5
Mountainous scenic landscapes  ,Object,Majestic mountain vistas  ,Object,Vibrant sky contrast,awe,6
Northern lights display  ,Object,Majestic northern lights  ,Object,Ethereal green glow,awe,7
Religious statue procession  ,Object,Reverent religious iconography  ,Object,"Soft, ethereal glow",awe,8
Climbing snowy mountains  ,Action,Majestic mountain climbing  ,Action,"Bright, icy brilliance",awe,9
Pelicans standing water  ,Object,Majestic water birds,Object,Serene golden hues,awe,10
Snow-covered winter trees  ,Object,Majestic winter landscape,Object,Radiant icy brilliance,awe,11
Rolling agricultural landscapes  ,Object,Majestic natural vistas  ,Object,Warm radiant hues,awe,12
